国家,行政区名称,Alpha,Beta,"Corr(Y, λ)",P值,显著,事件总数
Yemen,Al Mukalla City,0.49835937915809186,1e-06,0.498363087149467,0.0016047461747039637,✓,2
Lebanon,Baabda,0.4849156771170394,0.48860365918367105,0.7330529563357351,1e-10,✓,220
Lebanon,Nabatiyeh,0.4261394179726836,0.5215678385855262,0.8740688105216177,1e-10,✓,1246
Palestine,Gaza ash Shamaliyah,0.4185079647854148,0.5293757944839772,0.7276778548541973,1e-10,✓,2652
Palestine,Khan Yunis,0.4162378322063683,0.5289586339249975,0.8047842976386433,1e-10,✓,3556
Yemen,Al Misrakh,0.39507070558101964,1e-06,0.39506582681749186,0.00019760102320320883,✓,5
Palestine,Gaza,0.39098270397128837,0.559922415737467,0.7064613554240475,1e-10,✓,4853
Israel,Haifa,0.34824341068700343,0.6374214046696746,0.7182985232193805,1e-10,✓,185
Lebanon,Saida,0.3427514090388776,0.6107621835715722,0.7634873666592001,1e-10,✓,510
Palestine,Deir Al-Balah,0.33909885052140887,0.6241812611283019,0.6573102567463548,1e-10,✓,3520
Yemen,Ba'dan,0.3300155539112871,1e-06,0.33005453095452825,0.004456859758540599,✓,3
Yemen,Mahliyah,0.3300152940321541,1e-06,0.3300545309545306,0.004456850241638888,✓,3
Yemen,Al Garrahi,0.3300152689285045,1e-06,0.33005453095452764,0.004456850241682908,✓,3
Yemen,Arhab,0.3299645569542371,0.4999023126201154,0.15424896296483437,0.00027260836877596173,✓,3
Palestine,Kermanshah,0.32978749060761303,1e-06,0.3300545309545293,0.0044568634521416906,✓,3
Syria,Al Qamishli,0.31768286292235426,0.38826970432881525,0.3216173762630756,1e-10,✓,128
Syria,Hama,0.31410689855356266,0.4351858927754096,0.5667676636905451,1e-10,✓,65
Lebanon,Sour,0.31260317373581126,0.6729429044140847,0.8402602735441526,1e-10,✓,4269
Syria,Al-Malikiyah,0.28659729253768834,0.2260490589266518,0.3860312217480814,1e-10,✓,83
Syria,Jisr ash-Shugur,0.26985366742317773,1e-06,0.22155967785511366,1e-10,✓,76
Lebanon,West Bekaa,0.265409309627718,0.7027409128657279,0.6296646217447566,1e-10,✓,135
Yemen,Harf Sufyan,0.2622526115300714,0.6592302671510091,0.1797720002053904,1e-10,✓,20
Syria,Muhardeh,0.2500612312083644,0.3410406943618208,0.3723940114871908,1.0431216773687524e-07,✓,22
