国家,行政区名称,Alpha,Beta,Sigma_km,"Corr(Y, λ)",p_value,显著
Israel,Tel Aviv,0.8,0.291166121556073,149.99945733843276,0.24893633392521572,1.256805770566416e-11,✓
Lebanon,Baalbeck,0.8,0.9105828108790939,149.98603558287505,0.5307636832214936,0.0,✓
Lebanon,Hermel,0.8,0.3470014361642918,149.99923266100433,0.29505643873638876,2.975508728297882e-12,✓
Israel,HaZafon,0.8,0.9705697767427769,149.98895518464334,0.5059918582944114,0.0,✓
Israel,Golan,0.8,0.8096667584895815,149.9299342599426,0.37163086464714595,0.0,✓
Israel,Haifa,0.8,0.6753730594371296,149.98884974132596,0.596145101341807,0.0,✓
Israel,HaDarom,0.8,0.17555613700621672,149.99978806688938,0.06601095922155062,0.0010062938881816308,✓
Lebanon,Hasbaya,0.8,0.9438168338817416,149.99963282754246,0.24103137667587285,0.0,✓
Lebanon,Bint Jbayl,0.8,0.9738617004728161,149.99964835245058,0.6085307940030068,0.0,✓
Lebanon,Nabatiyeh,0.8,0.9497269773913215,149.99281353283317,0.608449941319489,0.0,✓
Lebanon,Marjaayoun,0.8,0.9688302006255624,149.99981043602747,0.4383209142103396,0.0,✓
Syria,Jarabulus,0.8,0.5718944601379877,149.9991779342954,0.21213137028235463,1.0743930189960338e-09,✓
Palestine,Rafah,0.8,0.8849255773975311,149.99993006467093,0.17799420715987735,1.478331168591751e-08,✓
Palestine,Gaza ash Shamaliyah,0.8,0.9456486339622032,149.99988826362514,0.42570272213976185,0.0,✓
Palestine,Gaza,0.8,0.9288693361118898,149.9999332122309,0.2288046918603904,4.551914400963142e-15,✓
Lebanon,Saida,0.8,0.8801486987704561,149.9805415036156,0.5273139461062066,0.0,✓
Syria,Jabal Sam'an,0.8,0.9417246573423834,149.99929405143905,0.5239342317013532,0.0,✓
Syria,Afrin,0.8,0.34147833518124426,149.99930035860908,0.07494997225702635,0.0010185492342265623,✓
