区ID,区名称,州名称,Alpha,Beta,"Corr(Y, λ)",P值,显著,事件总数
243,Letychivs'kyi,Khmel'nyts'kyy,0.499164343075841,1e-06,0.499167109699495,0.0007702242876531651,True,2
4,Chyhyryns'kyi,Cherkasy,0.49916433530275806,1e-06,0.49916710969949457,0.0007702274779457507,True,2
343,Bilovods'kyi,Luhans'k,0.49916429637377097,1e-06,0.4991671096994946,0.0007702258827982922,True,2
616,Narodyts'kyi,Zhytomyr,0.49771236122152324,1e-06,0.3318521509125619,1.6016033776711236e-05,True,4
407,Kotovs'ka,Odessa,0.3316609756814156,1e-06,0.331666554163778,0.002119108309440676,True,3
92,Marhanets'ka,Dnipropetrovs'k,0.29305958634342133,0.6637729695823246,0.45684561116058786,1e-10,True,701
269,Makarivs'kyi,Kiev,0.2701409441664677,0.6614048248566848,0.5627821919183039,1e-10,True,31
172,Nadvirnians'kyi,Ivano-Frankivs'k,0.26928078020395313,0.46343184125137715,0.1843039665192326,0.0035327156502154566,True,2
364,Stakhanivs'ka,Luhans'k,0.25212836305944747,0.6127194544440351,0.37199656085812116,1e-10,True,92
414,Reniis'kyi,Odessa,0.24488065484005359,1e-06,0.24497901278849357,0.00042351767206499913,True,8
285,Dniprovs'kyi,Kiev City,0.23967942384660373,1e-06,0.23989053586014125,1.9841687869393e-05,True,16
34,Kulykivs'kyi,Chernihiv,0.23879673715389832,0.39046225533097084,0.22806703555859761,0.0004153747549628384,True,6
180,Barvinkivs'kyi,Kharkiv,0.23539126632003338,0.7560094105435584,0.8352531927871344,1e-10,True,414
465,Sarnens'kyi,Rivne,0.2349808731929766,0.5045989598536936,0.2540805403244213,8.171631523157252e-05,True,6
406,Kominternivs'kyi,Odessa,0.2217265383845002,1e-06,0.22484172325876087,1.7642679767115865e-07,True,37
345,Kirovs'ka,Luhans'k,0.2189471289082743,0.6890643552318912,0.39529309939434937,1e-10,True,14
320,Iavorivs'kyi,L'viv,0.21640733055049483,1e-06,0.14944085194424933,0.0007207974574894305,True,9
179,Balakliis'kyi,Kharkiv,0.2153235812888431,0.7649295613467196,0.8253065823180273,1e-10,True,447
27,Chernihivs'ka,Chernihiv,0.19930065295942284,0.6842063218903016,0.6518490947432263,1e-10,True,83
388,Veselynivs'kyi,Mykolayiv,0.19666233679524822,1e-06,0.1966610589870946,0.007170967512337922,True,5
620,Ovruts'kyi,Zhytomyr,0.1966606658409875,1e-06,0.1403048844354749,0.007170979134715094,True,5
598,Veselivs'kyi,Zaporizhia,0.1966590930512253,1e-06,0.19666105898709382,0.007170998518020388,True,5
473,Bilopils'kyi,Sumy,0.18917732979882942,0.7987100481847007,0.7877568334695566,1e-10,True,2337
350,Luhans'ka,Luhans'k,0.18818099127209229,0.01718391156342058,0.17400807283028036,5.330016539795146e-07,True,68
628,NA,Zhytomyr,0.18784240179590517,0.775129333599917,0.32657019905468604,1e-10,True,13
268,Kyievo-Sviatoshyns'kyi,Kiev,0.18505852900276332,0.7541023045238638,0.5062257619451948,1e-10,True,35
261,Brovars'kyi,Kiev,0.17965574780750004,0.7927172850078803,0.4292254994230351,1e-10,True,23
28,Chernihivs'kyi,Chernihiv,0.1751320579530941,0.3666344502917209,0.1689441817840547,2.1795890513542915e-06,True,36
185,Chuhu‹vs'kyi,Kharkiv,0.17500686933679913,0.8074090242568603,0.791488058677763,1e-10,True,314
158,Velykonovosilkivs'kyi,Donets'k,0.17494727767860715,0.6893252321776485,0.6874243177486689,1e-10,True,4069
221,Novokahovs'ka,Kherson,0.17025807092427384,0.5586621208957437,0.25780452512052593,1e-10,True,38
389,Voznesens'ka,Mykolayiv,0.16829813850094166,0.5129031375993152,0.22960312191400675,8.030431508654345e-08,True,35
144,n.a. ( 511),Donets'k,0.16716741719600703,0.5024063851915885,0.22577380055903654,4.845450922669192e-05,True,12
205,Valkivs'kyi,Kharkiv,0.16248972500690106,1e-06,0.1624895258109336,0.011005545042969245,True,6
519,Kalynivs'kyi,Vinnytsya,0.1612870465719826,0.5056896103616542,0.1309807983892041,0.009862341947856124,True,3
122,Horlivs'ka,Donets'k,0.1611591801887203,0.8159761386797713,0.7028272865177473,1e-10,True,2229
359,Popasnians'kyi,Luhans'k,0.16045071545218675,0.8179970769294885,0.7459295302552428,1e-10,True,751
453,Dubens'kyi,Rivne,0.15803089005799803,0.7108157798214715,0.10878551539542564,0.00023433045979986966,True,6
356,Novoaidars'kyi,Luhans'k,0.1578424825356216,0.5043836902136613,0.1943723825208412,9.978720588721401e-06,True,21
193,Krasnohrads'kyi,Kharkiv,0.15580559700608118,0.5003993703041,0.20361042686495848,3.544750185663359e-05,True,15
404,Kiliis'kyi,Odessa,0.1547003806723924,0.8000649913843919,0.40469515753312574,1e-10,True,55
398,Bilhorod-Dnistrovs'kyi,Odessa,0.15150776600804355,0.2965897102853537,0.1710904484825106,7.021590304745473e-06,True,26
495,Velykopysarivs'kyi,Sumy,0.14991048409613825,0.8461184166997718,0.8409203095624455,1e-10,True,2212
392,Zhovtnevyi,Mykolayiv,0.14789053153430376,0.8466855711367622,0.7783405710967896,1e-10,True,733
117,Artemivs'kyi,Donets'k,0.14725810787942012,0.8446486459618395,0.8359833156609394,1e-10,True,5911
223,Novovorontsovs'kyi,Kherson,0.1469394394238562,0.7015081323699718,0.46770192128023913,1e-10,True,1715
493,Sums'kyi,Sumy,0.14690449169276973,0.8472724515865688,0.720213536420032,1e-10,True,2744
161,Vuhledars'ka,Donets'k,0.1464738674297573,0.23023235859275107,0.13743798792379383,0.0019138534507548988,True,14
35,Mens'kyi,Chernihiv,0.1445743520597826,1e-06,0.14460242453284786,0.0036713317981204585,True,13
484,Okhtyrs'ka,Sumy,0.14389735209871007,0.772499836853086,0.37526469823523184,1e-10,True,37
201,Pecheniz'kyi,Kharkiv,0.1405497054976962,0.8283618709559888,0.40683634326403867,1e-10,True,57
387,Snihurivs'kyi,Mykolayiv,0.1391924605271572,0.8456982999494514,0.7290418401407016,1e-10,True,358
355,n.a. ( 182),Luhans'k,0.13890917729539828,0.8548492618208728,0.5980037423674371,1e-10,True,112
120,Donets'ka,Donets'k,0.13879805103503995,0.8567383315776969,0.822861984237322,1e-10,True,3079
374,Bereznehuvats'kyi,Mykolayiv,0.1381394215845031,0.8554602951293471,0.7911952730387255,1e-10,True,563
207,Vovchans'kyi,Kharkiv,0.13748760247156921,0.8571014864249431,0.705929885202408,1e-10,True,2424
153,Slovians'kyi,Donets'k,0.13600061976052677,0.8530676779664219,0.8432702809403004,1e-10,True,748
487,Romens'ka,Sumy,0.1356400038871744,0.502070624874503,0.16073740990711707,0.0009852302298904436,True,10
479,Krasnopil's'kyi,Sumy,0.13545912898837298,0.8648178554927967,0.8665681959600395,1e-10,True,3982
486,Putyvl's'kyi,Sumy,0.13513319388484799,0.8525020515723438,0.648634802023962,1e-10,True,1440
362,Sieverodonets'ka,Luhans'k,0.13415708201836873,0.8594873610199265,0.633066199155121,1e-10,True,83
349,Kremins'kyi,Luhans'k,0.13078530403335606,0.8632880183429532,0.7270949843870036,1e-10,True,1234
