区名称,州名称,Alpha,Beta,Sigma_km,"Corr(Y, λ)",p_value,显著
Kharkivs'kyi,Kharkiv,0.8,0.7183184829398415,149.99992103893717,0.07687036967940655,0.00012001164536962206,✓
Dvorichans'kyi,Kharkiv,0.8,0.9309399552322796,151.07302096733912,0.3258226453341388,0.0,✓
Zhovtnevyi,Mykolayiv,0.8,0.7761296568145317,149.99929123811015,0.17597042371419447,0.0,✓
Iasynuvats'kyi,Donets'k,0.8,0.9532241219957049,149.9997876781059,0.24543332976535612,0.0,✓
Artemivs'kyi,Donets'k,0.8,0.9707872467355338,149.9996598168518,0.39210086259886556,0.0,✓
Putyvl's'kyi,Sumy,0.8,0.8874132099023141,149.99227798223586,0.22830420366044205,0.0,✓
Volnovas'kyi,Donets'k,0.8,0.8052611744245971,149.99991319722247,0.17372414440607903,1.6929996293768568e-10,✓
Balakliis'kyi,Kharkiv,0.8,0.49176286428043425,149.99899527915994,0.11576418529258084,1.124386966866453e-08,✓
Zolochivs'kyi,Kharkiv,0.8,0.8927316225210794,149.99994846764704,0.21451721953726002,0.0,✓
Hlukhivs'kyi,Sumy,0.79999902199177,0.9602250190932347,149.99949147413076,0.2114178146627823,0.0,✓
Snihurivs'kyi,Mykolayiv,0.79837743102268,0.4683172156674603,149.99980076250205,0.12131888831218239,2.0495624031280357e-08,✓
Semenivs'kyi,Chernihiv,0.785664884787075,0.7819379758641043,149.99996933559976,0.2597247004722882,0.0,✓
Pokrovs'kyi,Dnipropetrovs'k,0.7456565037545761,0.05836758415099313,149.99975076793442,0.12352197170768157,4.403212358505826e-06,✓
Slovians'kyi,Donets'k,0.7269511642123401,0.6844075416826889,149.99991716047836,0.16716861120634108,0.0,✓
Dobropil's'kyi,Donets'k,0.7203468470342229,0.01,150.0910396404421,0.19317536161766535,9.804379530464757e-13,✓
Krasnoarmiis'kyi,Donets'k,0.7201112653989751,0.8683610075745152,150.00121687596632,0.08635133505770581,1.7521731288105968e-09,✓
Beryslavs'kyi,Kherson,0.718149288263302,0.9596399253137632,149.9999813394655,0.3650648675657325,0.0,✓
Derhachivs'kyi,Kharkiv,0.7001592552564243,0.7323406687909261,149.99999118945675,0.11015602775252988,4.851727347099377e-07,✓
Chuhu‹vs'kyi,Kharkiv,0.6932234212602885,0.5487913743726757,149.9879741202216,0.12002858856007961,4.1542269624272876e-11,✓
Mar‹ns'kyi,Donets'k,0.6587294487493491,0.9705721049650463,149.9997891996678,0.3251527120626246,0.0,✓
Slovians'ka,Donets'k,0.6579935247538387,0.3445698856834925,149.99992116710808,0.14802662748610426,8.313530879988651e-06,✓
Huliaipil's'kyi,Zaporizhia,0.6096981973664666,0.9748211877091351,138.32241264423095,0.49109618730856525,0.0,✓
Barvinkivs'kyi,Kharkiv,0.6032923066858414,0.3225228794713326,149.99845621374757,0.05270805245413041,0.002144273020487364,✓
Vysokopil's'kyi,Kherson,0.5917291125952664,0.7880323965675566,149.99949906401366,0.23901126516308488,0.0,✓
Donets'ka,Donets'k,0.5668781045936374,0.9311610348149864,149.9993895802912,0.19193945086367836,4.6629367034256575e-15,✓
